SA,Q
"((2, 2, 140), 1)",0.0
"((2, 2, 170), 0)",0.0
"((2, 2, 170), 1)",0.0
"((2, 2, 200), 0)",0.0
"((2, 2, 200), 1)",0.0
"((2, 2, 230), 0)",0.0
"((2, 2, 230), 1)",0.0
"((2, 2, 260), 0)",0.0
"((2, 2, 260), 1)",0.0
"((2, 2, 290), 0)",0.0
"((2, 2, 290), 1)",0.0
"((2, 3, 50), 0)",-18.71023378685915
"((2, 3, 50), 1)",-3.1433857424728884
"((2, 3, 80), 0)",0.0
"((2, 3, 80), 1)",0.0
"((2, 3, 110), 0)",0.0
"((2, 3, 110), 1)",0.0
"((2, 3, 140), 0)",0.0
"((2, 3, 140), 1)",0.0
"((2, 3, 170), 0)",0.0
"((2, 3, 170), 1)",0.0
"((2, 3, 200), 0)",0.0
"((2, 3, 200), 1)",0.0
"((2, 3, 230), 0)",0.0
"((2, 3, 230), 1)",0.0
"((2, 3, 260), 0)",0.0
"((2, 3, 260), 1)",0.0
"((2, 3, 290), 0)",0.0
"((2, 3, 290), 1)",0.0
"((2, 4, 50), 0)",0.0
"((2, 4, 50), 1)",0.0
"((2, 4, 80), 0)",0.0
"((2, 4, 80), 1)",0.0
"((2, 4, 110), 0)",0.0
"((2, 4, 110), 1)",0.0
"((2, 4, 140), 0)",0.0
"((2, 4, 140), 1)",0.0
"((2, 4, 170), 0)",0.0
"((2, 4, 170), 1)",0.0
"((2, 4, 200), 0)",0.0
"((2, 4, 200), 1)",0.0
"((2, 4, 230), 0)",0.0
"((2, 4, 230), 1)",0.0
"((2, 4, 260), 0)",0.0
"((2, 4, 260), 1)",0.0
"((2, 4, 290), 0)",0.0
"((2, 4, 290), 1)",0.0
"((-2, 3, 300), 0)",20.214596224574677
"((-2, 2, 300), 0)",25.334310903317544
"((-1, 2, 300), 0)",30.9647000121344
"((-1, 2, 300), 1)",27.08423417326096
"((-2, 1, 300), 0)",18.753782850341654
"((-1, 1, 300), 0)",20.995100232782303
"((0, 1, 300), 0)",13.03002418772969
"((1, 1, 300), 0)",19.907762432147415
"((1, 1, 300), 1)",7.609392141336311
"((-2, 4, 300), 0)",3.2886449662296102
"((-1, 4, 300), 0)",9.501355553616484
"((0, 4, 270), 0)",0.7534359869012569
"((1, 4, 270), 0)",4.625120034318013
"((2, 4, 240), 0)",2.999927825005829
"((2, 1, 240), 0)",10.678842878262312
"((2, 2, 240), 0)",19.437535752952662
"((2, 2, 210), 0)",7.541331763897767
"((2, 3, 210), 0)",5.718594630883957
"((2, 3, 180), 0)",11.059368583269311
"((2, 0, 180), 0)",-13.539835213233928
"((2, 0, 150), 0)",7.695182660528966
"((2, 0, 120), 0)",12.847693723324006
"((-2, 0, 300), 0)",10.066292102026829
"((-1, 3, 300), 0)",20.372782123474817
"((0, 3, 300), 0)",15.550383241622212
"((1, 3, 300), 0)",19.867660299419214
"((1, 3, 300), 1)",10.602645192569396
"((0, 1, 270), 0)",1.828615599688484
"((1, 1, 270), 0)",9.464202156734755
"((2, 0, 210), 0)",8.140820223023375
"((2, 0, 150), 1)",4.542516618209046
"((-2, 0, 150), 0)",6.599795519104181
"((-1, 0, 120), 0)",11.42633772731787
"((0, 0, 120), 0)",1.014060728083152
"((1, 0, 90), 0)",3.900190750424648
"((2, 0, 90), 0)",-8.96194666642925
"((2, 0, 60), 0)",-90.48656600472448
"((-1, 0, 300), 0)",10.104973818128574
"((0, 0, 300), 0)",4.471638023766888
"((1, 0, 300), 0)",9.831715596749566
"((2, 0, 300), 0)",9.226068064117436
"((2, 0, 270), 0)",-4.8859241082934375
"((2, 3, 300), 0)",20.180745953737933
"((2, 0, 270), 1)",9.700707249074153
"((-2, 0, 270), 0)",9.620535403688036
"((-1, 0, 240), 0)",11.676888903472095
"((0, 0, 240), 0)",12.210016060431313
"((1, 0, 210), 0)",10.178667136837788
"((2, 1, 300), 0)",16.574244268980156
"((2, 2, 300), 0)",29.29907950283422
"((2, 3, 270), 0)",20.24185143878881
"((-2, 3, 270), 0)",9.779358774370618
"((-2, 3, 240), 0)",17.71059243704881
"((-1, 3, 240), 1)",9.078358414648442
"((-2, 2, 240), 0)",16.165405840901354
"((-1, 2, 210), 0)",32.584031042689084
"((0, 2, 210), 0)",16.74684371512147
"((1, 2, 180), 0)",34.569045775835804
"((2, 2, 180), 0)",14.667010563541483
"((2, 2, 150), 0)",24.077627956156732
"((2, 3, 150), 0)",17.38280150985379
"((2, 0, 120), 1)",13.065591568581002
"((-2, 0, 120), 0)",13.964401168525239
"((-2, 3, 120), 0)",18.037458789785934
"((-1, 3, 120), 0)",18.672073722642768
"((-1, 3, 90), 0)",22.52798047505049
"((0, 3, 90), 0)",16.011524436198858
"((1, 3, 90), 0)",19.368719278790056
"((1, 3, 60), 0)",9.741629535652423
"((2, 3, 60), 0)",-6.712859940314638
"((-1, 3, 240), 0)",25.753033822593785
"((-2, 2, 210), 0)",15.377206779865116
"((-1, 2, 180), 0)",26.97041402788423
"((0, 2, 180), 0)",8.045042198795343
"((1, 2, 150), 0)",22.400450144616627
"((2, 3, 120), 0)",25.660572650346577
"((-2, 3, 90), 0)",20.14106993127011
"((-1, 3, 60), 0)",11.234974660344738
"((0, 3, 60), 0)",15.561020669635072
"((1, 3, 60), 1)",11.69593917140865
"((-2, 3, 60), 0)",15.718054853850767
"((-2, 2, 60), 0)",30.63976735811143
"((-1, 3, 210.0), 0)",28.116214123755288
"((1, 3, 180.0), 0)",26.62316292288986
"((-1, 1, 180), 0)",8.778947303797286
"((0, 1, 180), 0)",3.910934950564709
"((-2, 0, 90), 0)",-12.845969672107572
"((-1, 1, 210), 0)",21.675523375293547
"((1, 1, 180), 0)",20.14143769284328
"((2, 3, 150), 1)",8.60650997899104
"((-2, 2, 120), 0)",16.678329095104452
"((-1, 2, 120), 0)",28.304259177619304
"((-1, 2, 90), 0)",13.10982216552778
"((-1, 2, 90), 1)",0.5003553298648172
"((-2, 2, 90), 0)",24.277154353065562
"((-2, 1, 90), 0)",3.384342058588247
"((-1, 1, 60), 0)",-10.706536315144984
"((2, 1, 270), 0)",11.11668948493046
"((2, 3, 240), 0)",20.461497187601424
"((2, 0, 180), 1)",9.867631692762975
"((-2, 0, 180), 0)",10.01131205259446
"((-1, 0, 150), 0)",9.998273877941989
"((0, 0, 150), 0)",8.486956207168989
"((1, 0, 120), 0)",11.09485857928402
"((2, 0, 90), 1)",-5.914607286943913
"((0, 2, 90), 0)",2.8068053350239506
"((1, 2, 90), 0)",25.38018431865748
"((1, 2, 60), 0)",17.248536201022397
"((2, 3, 60), 1)",6.081766957250298
"((-2, 3, 210.0), 0)",17.048550813774998
"((-1, 3, 180.0), 0)",20.18271759783247
"((0, 3, 180.0), 0)",6.741180647438744
"((1, 3, 150.0), 0)",18.299256940572647
"((-2, 3, 150.0), 0)",18.418682019500555
"((-1, 0, 90), 0)",-3.646957913112753
"((-1, 0, 60), 0)",-317.51425217319843
"((-2, 0, 240), 0)",10.71369988524463
"((0, 3, 210.0), 0)",8.854276157804975
"((1, 3, 210.0), 0)",27.362855570274093
"((1, 0, 180.0), 0)",9.172111925994455
"((-1, 3, 150.0), 0)",20.940935927380508
"((0, 3, 120.0), 0)",6.73054241343302
"((1, 3, 120.0), 0)",21.33083249001168
"((-1, 1, 240), 0)",38.65341298575903
"((0, 1, 240), 0)",5.109830662121217
"((1, 1, 210), 0)",23.86638469862903
"((-1, 1, 300), 1)",11.826650718607564
"((0, 4, 300), 0)",3.111687637505204
"((1, 4, 300), 0)",6.194899152589563
"((2, 2, 270), 0)",22.36221614642289
"((2, 0, 240), 0)",7.651597984516795
"((-1, 0, 60), 1)",-423.897209784341
"((-2, 0, 60), 0)",-485.2916418278204
"((-2, 0, 90), 1)",0.9931167656699222
"((-2, 3, 60), 1)",-23.391371793566808
"((-2, 2, 150), 0)",26.57086545141341
"((2, 2, 60), 0)",26.66874724170501
"((1, 0, 210), 1)",10.339444209251491
"((-2, 0, 210), 0)",10.01356316043062
"((-1, 0, 180), 0)",10.057615650440384
"((1, 0, 150), 0)",8.43531031463141
"((-1, 0, 90), 1)",-3.0301360085802993
"((-2, 0, 60), 1)",-483.9403058579637
"((2, 2, 300), 1)",14.434750154304192
"((-2, 2, 270), 0)",1.5578361132108958
"((-1, 2, 270), 0)",3.263071615944173
"((-1, 1, 270), 0)",7.304551974262343
"((1, 1, 240), 0)",25.96906380858139
"((1, 2, 210), 0)",31.73812932039259
"((2, 3, 90), 1)",19.90677280613637
"((-1, 2, 60), 0)",31.067484562323532
"((1, 2, 300), 0)",30.108170189511416
"((0, 3, 60), 1)",9.812653202138318
"((-1, 4, 240), 0)",3.356678072422271
"((-1, 4, 210), 0)",-5.656865602832918
"((0, 4, 210), 0)",1.9542067355301
"((1, 4, 210), 0)",9.032591529929714
"((1, 4, 180), 0)",4.075662594039335
"((2, 1, 180), 0)",11.963196353411618
"((-2, 0, 180), 1)",2.790685399976581
"((2, 2, 150), 1)",12.169080346914381
"((-1, 1, 120), 0)",10.839615290982769
"((0, 1, 90), 0)",3.1973083491790626
"((1, 1, 90), 0)",8.319760163618458
"((0, 1, 210.0), 0)",9.18388168307723
"((-1, 2, 240), 0)",40.57542554955614
"((2, 3, 90), 0)",14.83657603866719
"((-1, 0, 270), 0)",6.214006686458
"((1, 0, 240), 0)",13.453519166158806
"((-2, 3, 90), 1)",18.83027945255203
"((-2, 0, 270), 1)",5.535105349226306
"((0, 0, 210), 0)",3.1685511416174053
"((0, 0, 180), 0)",4.704909127078037
"((-1, 3, 210.0), 1)",0.6054867868332947
"((-2, 3, 180), 0)",19.940161442532535
"((1, 4, 240), 0)",18.97090735989829
"((2, 1, 210), 0)",-1.334188365450614
"((-2, 3, 150.0), 1)",0.7085117301076046
"((0, 2, 120), 0)",13.414499468174578
"((1, 2, 120), 0)",31.087193595207378
"((2, 4, 300), 0)",0.6199658605900821
"((-1, 3, 300), 1)",8.494735722027832
"((0, 3, 150), 0)",7.82413939318996
"((-1, 3, 60), 1)",1.8709457584963856
"((1, 3, 120.0), 1)",2.8928362377788366
"((0, 2, 60), 0)",17.996285584969883
"((2, 0, 300), 1)",9.706945912690518
"((0, 0, 270), 0)",0.8871670247012219
"((1, 0, 270), 0)",5.042027350492132
"((2, 0, 210), 1)",9.861976023578134
